accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa,auc,method,fold,n_train,n_test
0.29545454545454547,0.42406204906204903,0.31536774628879893,0.24345172371488163,0.14267756128221243,0.664099734016002,Tucker+MLP,0,173,44
0.25,0.3407287157287157,0.2624122807017544,0.21477671451355665,0.08793969849246241,0.6510789738660552,Tucker(arinmis)+MLP,0,173,44
0.45454545454545453,0.351010101010101,0.3269230769230769,0.4417249417249417,0.17948717948717952,0.6511895933247609,Demo+LogReg,0,173,44
0.4318181818181818,0.448051948051948,0.4162087912087912,0.440984015984016,0.2242595204513399,0.6780779474559379,Tucker+Demo+MLP,0,173,44
0.5,0.25,0.16666666666666666,0.3333333333333333,0.0,0.5,Dummy(cogunluk),0,173,44
0.29545454545454547,0.44791666666666663,0.2986111111111111,0.19696969696969696,0.15174129353233834,0.7041391788700402,Tucker+MLP,1,173,44
0.2727272727272727,0.40625,0.27404761904761904,0.18567099567099568,0.12655086848635244,0.6347525041080664,Tucker(arinmis)+MLP,1,173,44
0.6363636363636364,0.5293560606060607,0.4538011695906432,0.5889420520999468,0.45341614906832295,0.7003590404644532,Demo+LogReg,1,173,44
0.4090909090909091,0.5047348484848485,0.4226190476190476,0.3906926406926407,0.23324396782841816,0.7135548819535062,Tucker+Demo+MLP,1,173,44
0.5,0.25,0.16666666666666666,0.3333333333333333,0.0,0.5,Dummy(cogunluk),1,173,44
0.3488372093023256,0.34388528138528135,0.32220171469397474,0.3717047802079122,0.11730205278592387,0.616947466947467,Tucker+MLP,2,174,43
0.32558139534883723,0.32210497835497837,0.29452214452214454,0.3431723315444246,0.09506531204644397,0.6188938126438126,Tucker(arinmis)+MLP,2,174,43
0.4418604651162791,0.27056277056277056,0.25680555555555556,0.4015245478036176,0.09074889867841407,0.5499073749073748,Demo+LogReg,2,174,43
0.3953488372093023,0.4307359307359307,0.38130482456140347,0.40312263216179983,0.19741564967695624,0.6516699329199329,Tucker+Demo+MLP,2,174,43
0.5116279069767442,0.25,0.16923076923076924,0.34633273703041145,0.0,0.5,Dummy(cogunluk),2,174,43
0.5116279069767442,0.4935064935064935,0.4758928571428571,0.522093023255814,0.29453125,0.6672753110253109,Tucker+MLP,3,174,43
0.2558139534883721,0.3848755411255411,0.2741576162628794,0.19876564797005433,0.06585200271554648,0.6203229203229204,Tucker(arinmis)+MLP,3,174,43
0.4418604651162791,0.30086580086580084,0.2841694537346711,0.42055430245521247,0.1335012594458439,0.5168154761904762,Demo+LogReg,3,174,43
0.4186046511627907,0.4237012987012987,0.3943572874493927,0.4231004613501554,0.17750573833205818,0.6997094497094497,Tucker+Demo+MLP,3,174,43
0.5116279069767442,0.25,0.16923076923076924,0.34633273703041145,0.0,0.5,Dummy(cogunluk),3,174,43
0.32558139534883723,0.3399621212121212,0.3247899159663865,0.35004885675200315,0.08173784977908694,0.6093641531141532,Tucker+MLP,4,174,43
0.4186046511627907,0.34916125541125537,0.3478867623604466,0.4156930380920589,0.1130363036303631,0.6154271966771967,Tucker(arinmis)+MLP,4,174,43
0.3488372093023256,0.28125,0.2541141456582633,0.34220897661390137,0.03602882305844679,0.5510528791778792,Demo+LogReg,4,174,43
0.3488372093023256,0.3115530303030303,0.28751885369532426,0.3590445122592865,0.0738461538461539,0.5396330583830584,Tucker+Demo+MLP,4,174,43
0.5116279069767442,0.25,0.16923076923076924,0.34633273703041145,0.0,0.5,Dummy(cogunluk),4,174,43
0.3181818181818182,0.4025974025974026,0.32929292929292925,0.3055096418732782,0.12117177097203735,0.682828327146509,Tucker+MLP,5,173,44
0.25,0.3277417027417027,0.26222222222222225,0.2426262626262626,0.06140917905623777,0.6550513634245692,Tucker(arinmis)+MLP,5,173,44
0.38636363636363635,0.30844155844155846,0.26623931623931624,0.3588189588189588,0.078355314197052,0.518924886717949,Demo+LogReg,5,173,44
0.3409090909090909,0.4224386724386724,0.33799107812265705,0.32400847203478783,0.16710182767624027,0.6536901291087894,Tucker+Demo+MLP,5,173,44
0.5,0.25,0.16666666666666666,0.3333333333333333,0.0,0.5,Dummy(cogunluk),5,173,44
0.4772727272727273,0.5085227272727273,0.4620232708468002,0.48498560263266133,0.2932960893854749,0.7206212846164999,Tucker+MLP,6,173,44
0.29545454545454547,0.2869318181818182,0.2392037786774629,0.2800269905533063,0.018705035971223083,0.5729819879416171,Tucker(arinmis)+MLP,6,173,44
