accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa,auc,method,fold,n_train,n_test
0.5227272727272727,0.5227272727272727,0.5018867924528302,0.5018867924528302,0.045454545454545414,0.4772727272727273,Tucker+MLP,0,173,44
0.5681818181818182,0.5681818181818181,0.5268817204301075,0.5268817204301075,0.13636363636363635,0.5144628099173554,Tucker(arinmis)+MLP,0,173,44
0.6363636363636364,0.6363636363636364,0.6294736842105264,0.6294736842105263,0.2727272727272727,0.753099173553719,Demo+LogReg,0,173,44
0.4318181818181818,0.43181818181818177,0.3939393939393939,0.393939393939394,-0.13636363636363646,0.45661157024793386,Tucker+Demo+MLP,0,173,44
0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.5,Dummy(cogunluk),0,173,44
0.5454545454545454,0.5454545454545454,0.5445134575569358,0.5445134575569358,0.09090909090909094,0.53099173553719,Tucker+MLP,1,173,44
0.5227272727272727,0.5227272727272727,0.5204981837052414,0.5204981837052413,0.045454545454545414,0.48140495867768596,Tucker(arinmis)+MLP,1,173,44
0.7954545454545454,0.7954545454545454,0.792778649921507,0.7927786499215072,0.5909090909090908,0.7851239669421487,Demo+LogReg,1,173,44
0.5,0.5,0.4989648033126294,0.4989648033126294,0.0,0.49793388429752067,Tucker+Demo+MLP,1,173,44
0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.5,Dummy(cogunluk),1,173,44
0.5116279069767442,0.512987012987013,0.5105691056910568,0.5100397050482133,0.02588996763754048,0.5649350649350648,Tucker+MLP,2,174,43
0.5116279069767442,0.5140692640692641,0.5073649754500819,0.5062992425684163,0.027987082884822434,0.5606060606060606,Tucker(arinmis)+MLP,2,174,43
0.6976744186046512,0.6958874458874459,0.6950354609929078,0.6956952003958436,0.39305103148751364,0.7586580086580087,Demo+LogReg,2,174,43
0.5813953488372093,0.5833333333333333,0.5793478260869566,0.578665318503539,0.16594827586206895,0.58008658008658,Tucker+Demo+MLP,2,174,43
0.5116279069767442,0.5,0.3384615384615385,0.34633273703041145,0.0,0.5,Dummy(cogunluk),2,174,43
0.4883720930232558,0.49891774891774887,0.364247311827957,0.3577144286071518,-0.0021186440677964935,0.6103896103896104,Tucker+MLP,3,174,43
0.4883720930232558,0.5,0.328125,0.32049418604651164,0.0,0.48051948051948046,Tucker(arinmis)+MLP,3,174,43
0.627906976744186,0.6255411255411256,0.6228070175438596,0.623827009383925,0.25217391304347825,0.6017316017316017,Demo+LogReg,3,174,43
0.4883720930232558,0.49783549783549785,0.3935897435897436,0.3880143112701252,-0.00424628450106157,0.6082251082251081,Tucker+Demo+MLP,3,174,43
0.5116279069767442,0.5,0.3384615384615385,0.34633273703041145,0.0,0.5,Dummy(cogunluk),3,174,43
0.5813953488372093,0.5800865800865801,0.5793478260869566,0.5800303336703742,0.16052060737527107,0.6255411255411255,Tucker+MLP,4,174,43
0.4883720930232558,0.4956709956709957,0.4369047619047619,0.43294573643410844,-0.008528784648187626,0.5606060606060607,Tucker(arinmis)+MLP,4,174,43
0.6046511627906976,0.606060606060606,0.6037940379403794,0.6033654755152202,0.21143473570658045,0.6785714285714286,Demo+LogReg,4,174,43
