accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa,auc,method,fold,n_train,n_test
0.8285714285714286,0.79,0.79,0.8285714285714286,0.5800000000000001,0.908,Tucker+MLP,0,140,35
0.8571428571428571,0.75,0.7878787878787878,0.8398268398268397,0.588235294117647,0.8880000000000001,Tucker(arinmis)+MLP,0,140,35
0.7142857142857143,0.71,0.6829710144927537,0.7256728778467908,0.375,0.79,Demo+LogReg,0,140,35
0.7714285714285715,0.78,0.7463768115942029,0.7805383022774326,0.5,0.9159999999999999,Tucker+Demo+MLP,0,140,35
0.7142857142857143,0.5,0.4166666666666667,0.5952380952380953,0.0,0.5,Dummy(cogunluk),0,140,35
0.7428571428571429,0.79,0.7286821705426356,0.7552602436323367,0.47933884297520657,0.76,Tucker+MLP,1,140,35
0.5714285714285714,0.61,0.5584524810765349,0.5908927069566262,0.17322834645669294,0.6799999999999999,Tucker(arinmis)+MLP,1,140,35
0.7428571428571429,0.64,0.6503884572697003,0.7274456952592359,0.3076923076923077,0.704,Demo+LogReg,1,140,35
0.7142857142857143,0.71,0.6829710144927537,0.7256728778467908,0.375,0.736,Tucker+Demo+MLP,1,140,35
0.7142857142857143,0.5,0.4166666666666667,0.5952380952380953,0.0,0.5,Dummy(cogunluk),1,140,35
0.6571428571428571,0.61,0.6022727272727273,0.6655844155844156,0.2075471698113207,0.6519999999999999,Tucker+MLP,2,140,35
0.6,0.5700000000000001,0.5561594202898551,0.6159420289855072,0.125,0.552,Tucker(arinmis)+MLP,2,140,35
0.7142857142857143,0.71,0.6829710144927537,0.7256728778467908,0.375,0.77,Demo+LogReg,2,140,35
0.6285714285714286,0.5900000000000001,0.5790934320074006,0.6409409277124356,0.1651376146788992,0.6759999999999999,Tucker+Demo+MLP,2,140,35
0.7142857142857143,0.5,0.4166666666666667,0.5952380952380953,0.0,0.5,Dummy(cogunluk),2,140,35
0.7142857142857143,0.62,0.6260683760683761,0.7039072039072038,0.25531914893617025,0.592,Tucker+MLP,3,140,35
0.5714285714285714,0.55,0.5333333333333333,0.5904761904761904,0.08695652173913038,0.568,Tucker(arinmis)+MLP,3,140,35
0.6857142857142857,0.69,0.6577777777777778,0.6996825396825397,0.33043478260869563,0.808,Demo+LogReg,3,140,35
