accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa,auc,method,fold,n_train,n_test
0.8214285714285714,0.8863636363636364,0.7888386123680242,0.8362421891833656,0.5930232558139534,0.856060606060606,Tucker+MLP,0,112,28
0.6071428571428571,0.5075757575757576,0.49918699186991866,0.6320557491289199,0.012820512820512775,0.6893939393939393,Tucker(arinmis)+MLP,0,112,28
0.8214285714285714,0.8863636363636364,0.7888386123680242,0.8362421891833656,0.5930232558139534,0.9166666666666666,Demo+LogReg,0,112,28
0.6428571428571429,0.7727272727272727,0.625668449197861,0.6715049656226127,0.3396226415094339,0.856060606060606,Tucker+Demo+MLP,0,112,28
0.7857142857142857,0.5,0.44,0.6914285714285714,0.0,0.5,Dummy(cogunluk),0,112,28
0.6785714285714286,0.6742424242424242,0.6199095022624435,0.7052359405300582,0.2674418604651162,0.7803030303030303,Tucker+MLP,1,112,28
0.6785714285714286,0.6136363636363636,0.5902439024390245,0.6989547038327526,0.1923076923076923,0.7424242424242424,Tucker(arinmis)+MLP,1,112,28
0.9642857142857143,0.9772727272727273,0.9499105545617174,0.965244058267314,0.9,0.9696969696969697,Demo+LogReg,1,112,28
0.75,0.7196969696969697,0.6813008130081301,0.7658536585365853,0.3717948717948718,0.8106060606060606,Tucker+Demo+MLP,1,112,28
0.7857142857142857,0.5,0.44,0.6914285714285714,0.0,0.5,Dummy(cogunluk),1,112,28
0.6071428571428571,0.5075757575757576,0.49918699186991866,0.6320557491289199,0.012820512820512775,0.5454545454545454,Tucker+MLP,2,112,28
0.6785714285714286,0.553030303030303,0.5491949910554561,0.6871965244058267,0.09999999999999998,0.5984848484848485,Tucker(arinmis)+MLP,2,112,28
0.6785714285714286,0.49242424242424243,0.49090909090909096,0.6675324675324675,-0.016129032258064502,0.45075757575757575,Demo+LogReg,2,112,28
0.6785714285714286,0.6136363636363636,0.5902439024390245,0.6989547038327526,0.1923076923076923,0.5757575757575757,Tucker+Demo+MLP,2,112,28
0.7857142857142857,0.5,0.44,0.6914285714285714,0.0,0.5,Dummy(cogunluk),2,112,28
0.75,0.7196969696969697,0.6813008130081301,0.7658536585365853,0.3717948717948718,0.6439393939393939,Tucker+MLP,3,112,28
0.4642857142857143,0.4772727272727273,0.42857142857142855,0.5102040816326531,-0.02941176470588225,0.5833333333333333,Tucker(arinmis)+MLP,3,112,28
0.75,0.7196969696969697,0.6813008130081301,0.7658536585365853,0.3717948717948718,0.7007575757575758,Demo+LogReg,3,112,28
0.7142857142857143,0.696969696969697,0.65,0.7357142857142858,0.31707317073170727,0.7424242424242424,Tucker+Demo+MLP,3,112,28
0.7857142857142857,0.5,0.44,0.6914285714285714,0.0,0.5,Dummy(cogunluk),3,112,28
0.75,0.7196969696969697,0.6813008130081301,0.7658536585365853,0.3717948717948718,0.803030303030303,Tucker+MLP,4,112,28
0.7857142857142857,0.8636363636363636,0.7543859649122806,0.8045112781954887,0.5333333333333333,0.8787878787878788,Tucker(arinmis)+MLP,4,112,28
0.6428571428571429,0.7121212121212122,0.6111111111111112,0.6746031746031746,0.2857142857142857,0.8219696969696969,Demo+LogReg,4,112,28
0.6785714285714286,0.6136363636363636,0.5902439024390245,0.6989547038327526,0.1923076923076923,0.7954545454545454,Tucker+Demo+MLP,4,112,28
0.7857142857142857,0.5,0.44,0.6914285714285714,0.0,0.5,Dummy(cogunluk),4,112,28
0.7142857142857143,0.6363636363636364,0.6190476190476191,0.727891156462585,0.2432432432432432,0.7424242424242424,Tucker+MLP,5,112,28
0.5357142857142857,0.46212121212121215,0.4509803921568627,0.5742296918767507,-0.058139534883721034,0.5378787878787878,Tucker(arinmis)+MLP,5,112,28
0.7857142857142857,0.803030303030303,0.7375,0.8017857142857142,0.4878048780487805,0.8030303030303031,Demo+LogReg,5,112,28
0.6785714285714286,0.7348484848484849,0.6415362731152205,0.7073765494818127,0.32978723404255317,0.75,Tucker+Demo+MLP,5,112,28
0.7857142857142857,0.5,0.44,0.6914285714285714,0.0,0.5,Dummy(cogunluk),5,112,28
0.75,0.7196969696969697,0.6813008130081301,0.7658536585365853,0.3717948717948718,0.6969696969696969,Tucker+MLP,6,112,28
0.5714285714285714,0.606060606060606,0.5333333333333333,0.6095238095238095,0.1428571428571429,0.5454545454545454,Tucker(arinmis)+MLP,6,112,28
0.8571428571428571,0.9090909090909092,0.825,0.8678571428571429,0.6585365853658536,0.8712121212121212,Demo+LogReg,6,112,28
