accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa,auc,method,fold,repeat,split,n_train,n_test,mpca_explained,mpca_recon_err_test,mpca_fit_sec
0.8285714285714286,0.79,0.79,0.8285714285714286,0.5800000000000001,0.908,Tucker+MLP,0,0,0,140,35,0.3827637716310403,0.4415444632472853,3.132448196411133
0.7428571428571429,0.79,0.7286821705426356,0.7552602436323367,0.47933884297520657,0.76,Tucker+MLP,1,0,1,140,35,0.3852369123326813,0.446408303784792,3.1034624576568604
0.6571428571428571,0.61,0.6022727272727273,0.6655844155844156,0.2075471698113207,0.6519999999999999,Tucker+MLP,2,0,2,140,35,0.3751384590158195,0.44282237479941483,3.0865793228149414
0.7142857142857143,0.62,0.6260683760683761,0.7039072039072038,0.25531914893617025,0.592,Tucker+MLP,3,0,3,140,35,0.3833367119923913,0.4423045779098879,3.095914363861084
0.7428571428571429,0.76,0.72,0.7542857142857142,0.4521739130434782,0.8240000000000001,Tucker+MLP,4,0,4,140,35,0.3833681403618019,0.4453079636534437,3.1077237129211426
0.7428571428571429,0.6699999999999999,0.6749226006191951,0.738611233967271,0.35051546391752575,0.8280000000000001,Tucker+MLP,5,1,0,140,35,0.3792361932444268,0.4551447275953966,3.0411500930786133
0.6857142857142857,0.6000000000000001,0.6026831785345717,0.6805248415155536,0.20618556701030932,0.6679999999999999,Tucker+MLP,6,1,1,140,35,0.38099319330288445,0.4414949919603622,3.1220786571502686
0.7714285714285715,0.78,0.7463768115942029,0.7805383022774326,0.5,0.796,Tucker+MLP,7,1,2,140,35,0.3821780416215469,0.44919189321546144,3.063305377960205
0.7428571428571429,0.6699999999999999,0.6749226006191951,0.738611233967271,0.35051546391752575,0.7759999999999999,Tucker+MLP,8,1,3,140,35,0.38343371721895325,0.427531080483929,3.038283586502075
0.7142857142857143,0.77,0.7023809523809523,0.727891156462585,0.435483870967742,0.828,Tucker+MLP,9,1,4,140,35,0.38337041463248134,0.44563285495501465,3.0966994762420654
0.7714285714285715,0.75,0.7348484848484849,0.7770562770562771,0.4716981132075472,0.804,Tucker+MLP,10,2,0,140,35,0.3775555850545032,0.4397464222330418,3.1067516803741455
0.7428571428571429,0.7,0.6938775510204082,0.7463556851311953,0.38834951456310673,0.76,Tucker+MLP,11,2,1,140,35,0.3859419220571344,0.44855220250387434,3.0801517963409424
0.7714285714285715,0.66,0.6759259259259259,0.7513227513227514,0.36363636363636376,0.7240000000000001,Tucker+MLP,12,2,2,140,35,0.3806082363665242,0.446700382946518,3.0732533931732178
0.7714285714285715,0.69,0.7008547008547008,0.7631257631257632,0.4042553191489362,0.8240000000000001,Tucker+MLP,13,2,3,140,35,0.38278837417621514,0.4446498086770164,3.0537707805633545
0.6285714285714286,0.6499999999999999,0.6080964685615848,0.6464870185800418,0.2479338842975206,0.748,Tucker+MLP,14,2,4,140,35,0.382293280578703,0.4399069737636343,3.067511558532715
0.7142857142857143,0.65,0.65,0.7142857142857143,0.30000000000000004,0.78,Tucker+LogReg,0,0,0,140,35,,,
0.7714285714285715,0.66,0.6759259259259259,0.7513227513227514,0.36363636363636376,0.7080000000000001,Tucker+LogReg,1,0,1,140,35,,,
0.7142857142857143,0.6799999999999999,0.668560606060606,0.7213203463203463,0.3396226415094339,0.6479999999999999,Tucker+LogReg,2,0,2,140,35,,,
0.7714285714285715,0.66,0.6759259259259259,0.7513227513227514,0.36363636363636376,0.6479999999999999,Tucker+LogReg,3,0,3,140,35,,,
0.6857142857142857,0.6599999999999999,0.6438482886216466,0.6961807849874455,0.29357798165137616,0.812,Tucker+LogReg,4,0,4,140,35,,,
0.8,0.74,0.7471620227038184,0.7966976264189888,0.4948453608247423,0.744,Tucker+LogReg,5,1,0,140,35,,,
0.6571428571428571,0.52,0.5138888888888888,0.6269841269841271,0.045454545454545525,0.592,Tucker+LogReg,6,1,1,140,35,,,
0.6571428571428571,0.61,0.6022727272727273,0.6655844155844156,0.2075471698113207,0.704,Tucker+LogReg,7,1,2,140,35,,,
0.7142857142857143,0.53,0.49712643678160917,0.638752052545156,0.07894736842105265,0.736,Tucker+LogReg,8,1,3,140,35,,,
0.7142857142857143,0.74,0.6940559440559441,0.7277722277722277,0.4067796610169492,0.796,Tucker+LogReg,9,1,4,140,35,,,
0.7142857142857143,0.62,0.6260683760683761,0.7039072039072038,0.25531914893617025,0.772,Tucker+LogReg,10,2,0,140,35,,,
0.6571428571428571,0.61,0.6022727272727273,0.6655844155844156,0.2075471698113207,0.704,Tucker+LogReg,11,2,1,140,35,,,
0.6857142857142857,0.63,0.6258503401360545,0.6899902818270166,0.2524271844660194,0.6,Tucker+LogReg,12,2,2,140,35,,,
0.7714285714285715,0.69,0.7008547008547008,0.7631257631257632,0.4042553191489362,0.752,Tucker+LogReg,13,2,3,140,35,,,
0.6,0.54,0.5359848484848485,0.609848484848485,0.07547169811320753,0.6599999999999999,Tucker+LogReg,14,2,4,140,35,,,
0.8285714285714286,0.79,0.79,0.8285714285714286,0.5800000000000001,0.864,PCA+MLP,0,0,0,140,35,,,
0.2857142857142857,0.5,0.2222222222222222,0.12698412698412698,0.0,0.616,PCA+MLP,1,0,1,140,35,,,
0.6,0.51,0.51,0.6,0.020000000000000018,0.64,PCA+MLP,2,0,2,140,35,,,
0.7142857142857143,0.5,0.4166666666666667,0.5952380952380953,0.0,0.62,PCA+MLP,3,0,3,140,35,,,
0.42857142857142855,0.6,0.41666666666666663,0.38095238095238093,0.12499999999999989,0.72,PCA+MLP,4,0,4,140,35,,,
0.8,0.6799999999999999,0.703030303030303,0.7757575757575756,0.4235294117647058,0.66,PCA+MLP,5,1,0,140,35,,,
0.2857142857142857,0.47000000000000003,0.2463393626184324,0.1725113818137074,-0.035502958579881616,0.548,PCA+MLP,6,1,1,140,35,,,
0.37142857142857144,0.56,0.34523809523809523,0.2891156462585034,0.07228915662650603,0.704,PCA+MLP,7,1,2,140,35,,,
0.3142857142857143,0.52,0.26573426573426573,0.1848151848151848,0.023255813953488302,0.64,PCA+MLP,8,1,3,140,35,,,
0.2857142857142857,0.5,0.2222222222222222,0.12698412698412698,0.0,0.4,PCA+MLP,9,1,4,140,35,,,
0.6857142857142857,0.72,0.6683893195521102,0.7008736311061893,0.36363636363636365,0.772,PCA+MLP,10,2,0,140,35,,,
0.6571428571428571,0.46,0.39655172413793105,0.5665024630541872,-0.10526315789473673,0.396,PCA+MLP,11,2,1,140,35,,,
0.2857142857142857,0.5,0.2222222222222222,0.12698412698412698,0.0,0.772,PCA+MLP,12,2,2,140,35,,,
0.6857142857142857,0.57,0.5726970033296338,0.6668780719835105,0.15384615384615385,0.508,PCA+MLP,13,2,3,140,35,,,
0.7142857142857143,0.53,0.49712643678160917,0.638752052545156,0.07894736842105265,0.6880000000000001,PCA+MLP,14,2,4,140,35,,,
0.8571428571428571,0.8400000000000001,0.8299319727891157,0.859086491739553,0.6601941747572815,0.9279999999999999,Voxel-MLP,0,0,0,140,35,,,
0.7142857142857143,0.65,0.65,0.7142857142857143,0.30000000000000004,0.744,Voxel-MLP,1,0,1,140,35,,,
0.6571428571428571,0.61,0.6022727272727273,0.6655844155844156,0.2075471698113207,0.592,Voxel-MLP,2,0,2,140,35,,,
0.5428571428571428,0.5,0.49275362318840576,0.5610766045548654,0.0,0.5920000000000001,Voxel-MLP,3,0,3,140,35,,,
0.6857142857142857,0.75,0.6761984861227923,0.6999879851015259,0.39370078740157477,0.8360000000000001,Voxel-MLP,4,0,4,140,35,,,
0.8,0.8,0.7733580018501387,0.8066604995374652,0.5504587155963303,0.84,Voxel-MLP,5,1,0,140,35,,,
0.6285714285714286,0.6499999999999999,0.6080964685615848,0.6464870185800418,0.2479338842975206,0.7040000000000001,Voxel-MLP,6,1,1,140,35,,,
0.5714285714285714,0.64,0.56575682382134,0.587025877348458,0.21052631578947367,0.788,Voxel-MLP,7,1,2,140,35,,,
0.8,0.77,0.7619047619047619,0.8027210884353742,0.5242718446601942,0.796,Voxel-MLP,8,1,3,140,35,,,
0.6571428571428571,0.7,0.6428571428571428,0.673469387755102,0.32258064516129037,0.712,Voxel-MLP,9,1,4,140,35,,,
0.7142857142857143,0.65,0.65,0.7142857142857143,0.30000000000000004,0.736,Voxel-MLP,10,2,0,140,35,,,
0.6857142857142857,0.6599999999999999,0.6438482886216466,0.6961807849874455,0.29357798165137616,0.74,Voxel-MLP,11,2,1,140,35,,,
0.7428571428571429,0.6699999999999999,0.6749226006191951,0.738611233967271,0.35051546391752575,0.788,Voxel-MLP,12,2,2,140,35,,,
0.7428571428571429,0.73,0.7086031452358927,0.7514206422624554,0.42201834862385323,0.8440000000000001,Voxel-MLP,13,2,3,140,35,,,
0.7428571428571429,0.7,0.6938775510204082,0.7463556851311953,0.38834951456310673,0.804,Voxel-MLP,14,2,4,140,35,,,
0.6571428571428571,0.55,0.5512820512820513,0.6446886446886447,0.1063829787234043,0.55,Dummy,0,0,0,140,35,,,
0.5428571428571428,0.44000000000000006,0.44000000000000006,0.5428571428571428,-0.11999999999999988,0.43999999999999995,Dummy,1,0,1,140,35,,,
0.5714285714285714,0.45999999999999996,0.4582043343653251,0.5643520566121185,-0.08247422680412364,0.46,Dummy,2,0,2,140,35,,,
0.6857142857142857,0.57,0.5726970033296338,0.6668780719835105,0.15384615384615385,0.5700000000000001,Dummy,3,0,3,140,35,,,
