accuracy,balanced_accuracy,f1_macro,f1_weighted,kappa,auc,method,fold,repeat,split,n_train,n_test,mpca_explained,mpca_recon_err_test,mpca_fit_sec
0.8214285714285714,0.8863636363636364,0.7888386123680242,0.8362421891833656,0.5930232558139534,0.856060606060606,Tucker+MLP,0,0,0,112,28,0.3795252523222772,0.4473556421418715,2.4955379962921143
0.6785714285714286,0.6742424242424242,0.6199095022624435,0.7052359405300582,0.2674418604651162,0.7803030303030303,Tucker+MLP,1,0,1,112,28,0.38678387009954956,0.44506700235816377,2.5613088607788086
0.6071428571428571,0.5075757575757576,0.49918699186991866,0.6320557491289199,0.012820512820512775,0.5454545454545454,Tucker+MLP,2,0,2,112,28,0.38980564077169577,0.4396249170817729,2.432365894317627
0.75,0.7196969696969697,0.6813008130081301,0.7658536585365853,0.3717948717948718,0.6439393939393939,Tucker+MLP,3,0,3,112,28,0.38491809087619916,0.45068406245989867,2.4735336303710938
0.75,0.7196969696969697,0.6813008130081301,0.7658536585365853,0.3717948717948718,0.803030303030303,Tucker+MLP,4,0,4,112,28,0.3841879370773311,0.4369945564184349,2.4763002395629883
0.7142857142857143,0.6363636363636364,0.6190476190476191,0.727891156462585,0.2432432432432432,0.7424242424242424,Tucker+MLP,5,1,0,112,28,0.3831637890310505,0.44620576531596906,2.477485418319702
0.75,0.7196969696969697,0.6813008130081301,0.7658536585365853,0.3717948717948718,0.6969696969696969,Tucker+MLP,6,1,1,112,28,0.38780828241345916,0.4437922655962147,2.4978437423706055
0.6428571428571429,0.5303030303030303,0.5238095238095237,0.6598639455782312,0.05405405405405406,0.5757575757575757,Tucker+MLP,7,1,2,112,28,0.3763586672749281,0.4447054286955824,2.4963467121124268
0.75,0.6590909090909092,0.6493738819320215,0.7567084078711986,0.30000000000000004,0.6742424242424243,Tucker+MLP,8,1,3,112,28,0.38944813308345594,0.43871369569653,2.4722776412963867
0.5714285714285714,0.5454545454545454,0.5087719298245614,0.6090225563909775,0.06666666666666665,0.5681818181818181,Tucker+MLP,9,1,4,112,28,0.3885498586651698,0.44557971865335805,2.509558916091919
0.6785714285714286,0.6136363636363636,0.5902439024390245,0.6989547038327526,0.1923076923076923,0.696969696969697,Tucker+MLP,10,2,0,112,28,0.3837655098858344,0.43699166936017014,2.4736318588256836
0.75,0.6590909090909092,0.6493738819320215,0.7567084078711986,0.30000000000000004,0.5681818181818182,Tucker+MLP,11,2,1,112,28,0.38778352973146724,0.4400275922650881,2.461571216583252
0.7142857142857143,0.6363636363636364,0.6190476190476191,0.727891156462585,0.2432432432432432,0.6893939393939394,Tucker+MLP,12,2,2,112,28,0.3824579802870286,0.44441568237121226,2.4900412559509277
0.7142857142857143,0.696969696969697,0.65,0.7357142857142858,0.31707317073170727,0.7045454545454545,Tucker+MLP,13,2,3,112,28,0.38545523185197805,0.44892567712606785,2.48990535736084
0.6071428571428571,0.6287878787878788,0.561877667140825,0.6423491160333266,0.1808510638297871,0.696969696969697,Tucker+MLP,14,2,4,112,28,0.38598364509863514,0.44842381120489344,2.476039171218872
0.7142857142857143,0.5757575757575758,0.5757575757575758,0.7142857142857143,0.1515151515151515,0.6590909090909092,Tucker+LogReg,0,0,0,112,28,,,
0.8214285714285714,0.7045454545454546,0.7171717171717171,0.8152958152958153,0.435483870967742,0.7803030303030303,Tucker+LogReg,1,0,1,112,28,,,
0.7142857142857143,0.5151515151515151,0.5130434782608696,0.6919254658385093,0.034482758620689724,0.553030303030303,Tucker+LogReg,2,0,2,112,28,,,
0.8214285714285714,0.7045454545454546,0.7171717171717171,0.8152958152958153,0.435483870967742,0.6363636363636362,Tucker+LogReg,3,0,3,112,28,,,
0.6785714285714286,0.6136363636363636,0.5902439024390245,0.6989547038327526,0.1923076923076923,0.7575757575757576,Tucker+LogReg,4,0,4,112,28,,,
0.7142857142857143,0.5757575757575758,0.5757575757575758,0.7142857142857143,0.1515151515151515,0.6893939393939394,Tucker+LogReg,5,1,0,112,28,,,
0.6785714285714286,0.49242424242424243,0.49090909090909096,0.6675324675324675,-0.016129032258064502,0.6515151515151515,Tucker+LogReg,6,1,1,112,28,,,
0.7142857142857143,0.5757575757575758,0.5757575757575758,0.7142857142857143,0.1515151515151515,0.7424242424242424,Tucker+LogReg,7,1,2,112,28,,,
0.8214285714285714,0.7045454545454546,0.7171717171717171,0.8152958152958153,0.435483870967742,0.6969696969696969,Tucker+LogReg,8,1,3,112,28,,,
0.6428571428571429,0.5303030303030303,0.5238095238095237,0.6598639455782312,0.05405405405405406,0.6136363636363636,Tucker+LogReg,9,1,4,112,28,,,
0.7142857142857143,0.5151515151515151,0.5130434782608696,0.6919254658385093,0.034482758620689724,0.712121212121212,Tucker+LogReg,10,2,0,112,28,,,
0.8214285714285714,0.7045454545454546,0.7171717171717171,0.8152958152958153,0.435483870967742,0.6439393939393939,Tucker+LogReg,11,2,1,112,28,,,
0.75,0.5984848484848485,0.604040404040404,0.7414141414141415,0.20967741935483875,0.6818181818181819,Tucker+LogReg,12,2,2,112,28,,,
0.6428571428571429,0.5909090909090908,0.5625,0.6696428571428571,0.14634146341463405,0.6969696969696969,Tucker+LogReg,13,2,3,112,28,,,
0.8214285714285714,0.7651515151515151,0.7495527728085868,0.8262202913365704,0.5,0.7348484848484849,Tucker+LogReg,14,2,4,112,28,,,
0.7857142857142857,0.5,0.44,0.6914285714285714,0.0,0.6666666666666666,PCA+MLP,0,0,0,112,28,,,
0.6785714285714286,0.6742424242424242,0.6199095022624435,0.7052359405300582,0.2674418604651162,0.8333333333333333,PCA+MLP,1,0,1,112,28,,,
0.6071428571428571,0.5075757575757576,0.49918699186991866,0.6320557491289199,0.012820512820512775,0.49242424242424243,PCA+MLP,2,0,2,112,28,,,
0.7857142857142857,0.5,0.44,0.6914285714285714,0.0,0.33333333333333326,PCA+MLP,3,0,3,112,28,,,
0.21428571428571427,0.5,0.17647058823529413,0.07563025210084033,0.0,0.6515151515151516,PCA+MLP,4,0,4,112,28,,,
0.7142857142857143,0.696969696969697,0.65,0.7357142857142858,0.31707317073170727,0.7878787878787878,PCA+MLP,5,1,0,112,28,,,
0.6428571428571429,0.5303030303030303,0.5238095238095237,0.6598639455782312,0.05405405405405406,0.4621212121212121,PCA+MLP,6,1,1,112,28,,,
0.4642857142857143,0.6590909090909091,0.46360153256704983,0.4745484400656815,0.16666666666666663,0.7424242424242424,PCA+MLP,7,1,2,112,28,,,
0.21428571428571427,0.5,0.17647058823529413,0.07563025210084033,0.0,0.6439393939393939,PCA+MLP,8,1,3,112,28,,,
0.21428571428571427,0.5,0.17647058823529413,0.07563025210084033,0.0,0.6212121212121212,PCA+MLP,9,1,4,112,28,,,
0.21428571428571427,0.5,0.17647058823529413,0.07563025210084033,0.0,0.7651515151515151,PCA+MLP,10,2,0,112,28,,,
0.7857142857142857,0.5,0.44,0.6914285714285714,0.0,0.5075757575757576,PCA+MLP,11,2,1,112,28,,,
0.21428571428571427,0.5,0.17647058823529413,0.07563025210084033,0.0,0.7196969696969697,PCA+MLP,12,2,2,112,28,,,
0.6785714285714286,0.4318181818181818,0.40425531914893614,0.6352583586626139,-0.16666666666666674,0.36363636363636365,PCA+MLP,13,2,3,112,28,,,
0.7857142857142857,0.6212121212121212,0.6347826086956522,0.768944099378882,0.27586206896551735,0.4015151515151515,PCA+MLP,14,2,4,112,28,,,
0.75,0.5984848484848485,0.604040404040404,0.7414141414141415,0.20967741935483875,0.8257575757575758,Voxel-MLP,0,0,0,112,28,,,
0.6785714285714286,0.6136363636363636,0.5902439024390245,0.6989547038327526,0.1923076923076923,0.6439393939393939,Voxel-MLP,1,0,1,112,28,,,
0.6428571428571429,0.5909090909090908,0.5625,0.6696428571428571,0.14634146341463405,0.6287878787878788,Voxel-MLP,2,0,2,112,28,,,
0.6071428571428571,0.6287878787878788,0.561877667140825,0.6423491160333266,0.1808510638297871,0.7121212121212122,Voxel-MLP,3,0,3,112,28,,,
0.7142857142857143,0.696969696969697,0.65,0.7357142857142858,0.31707317073170727,0.7651515151515151,Voxel-MLP,4,0,4,112,28,,,
