method,class,f1_mean,f1_sd
Tucker+MLP,ADHD,0.24590528723655655,0.11833283648608821
Tucker+MLP,BIPOLAR,0.39115952846603,0.13974736551569766
Tucker+MLP,CONTROL,0.36076285963382737,0.16885087460076278
Tucker+MLP,SCHZ,0.3971301242044276,0.09295057092524105
Tucker+LogReg,ADHD,0.2183053221288515,0.1340645229780409
Tucker+LogReg,BIPOLAR,0.4343509122456491,0.13323534134456155
Tucker+LogReg,CONTROL,0.591943194396703,0.08218796680380755
Tucker+LogReg,SCHZ,0.427072187072187,0.12783629251785894
PCA+MLP,ADHD,0.2187009435896488,0.12465501352122813
PCA+MLP,BIPOLAR,0.2664360245653152,0.1609713792306276
PCA+MLP,CONTROL,0.24016389385115552,0.20657944445267154
PCA+MLP,SCHZ,0.24094312704839024,0.16320264850624336
Voxel-MLP,ADHD,0.22241058677591188,0.08415140411645428
Voxel-MLP,BIPOLAR,0.3641163679303402,0.1444584890830248
Voxel-MLP,CONTROL,0.3991909421940451,0.14598811263826947
Voxel-MLP,SCHZ,0.3906296753355577,0.15835182221192676
Dummy,ADHD,0.16838289161818573,0.14872008165522577
Dummy,BIPOLAR,0.19263612394047175,0.13489308676149878
Dummy,CONTROL,0.48486303185751833,0.07935242753631623
Dummy,SCHZ,0.2070590847061435,0.12500366212353833
