method,class,f1_mean,f1_sd
Tucker+MLP,CONTROL,0.4877802914771736,0.1832599673246133
Tucker+MLP,PATIENT,0.5525856706685763,0.0788910973045462
Tucker+LogReg,CONTROL,0.5938627612676884,0.0692458705130456
Tucker+LogReg,PATIENT,0.5879962902376472,0.06595826865037004
PCA+MLP,CONTROL,0.40632422098167664,0.19953593845739667
PCA+MLP,PATIENT,0.5170582498910941,0.19282051544302722
Voxel-MLP,CONTROL,0.5994108253382276,0.07985161342172571
Voxel-MLP,PATIENT,0.5961370509711699,0.09367503716459599
Dummy,CONTROL,0.538700069228233,0.07163111010551362
Dummy,PATIENT,0.48030321769615225,0.10274570873391699
