method,class,f1_mean,f1_sd
Tucker+MLP,CONTROL,0.8062062820075299,0.04521379474996129
Tucker+MLP,SCHZ,0.5647153911715316,0.08969758414124733
Tucker+LogReg,CONTROL,0.7959902575920547,0.0451124391992664
Tucker+LogReg,SCHZ,0.46531611028178527,0.12484243441560101
PCA+MLP,CONTROL,0.477467022436635,0.3773418259321447
PCA+MLP,SCHZ,0.3885471789530157,0.19903578454482465
Voxel-MLP,CONTROL,0.7721143917652349,0.07872782075869807
Voxel-MLP,SCHZ,0.5578031540834519,0.10444769383714889
Dummy,CONTROL,0.7354116687858888,0.05089881631612607
Dummy,SCHZ,0.3161963198704348,0.10659748912974476
