method,class,f1_mean,f1_sd
Tucker+MLP,CONTROL,0.7922206570431787,0.053508127148312115
Tucker+MLP,SCHZ,0.4508971523832205,0.10953000955119005
Tucker+LogReg,CONTROL,0.8321888576402868,0.0476088000509807
Tucker+LogReg,SCHZ,0.3868914418914418,0.14252475848589824
PCA+MLP,CONTROL,0.5242451549725023,0.3956192892260892
PCA+MLP,SCHZ,0.2754746342981637,0.1824968049981986
Voxel-MLP,CONTROL,0.7576362109321032,0.07592337891026148
Voxel-MLP,SCHZ,0.42601474720669774,0.09969023191824322
Dummy,CONTROL,0.791353804688142,0.03915950243255046
Dummy,SCHZ,0.1815244015244015,0.13704409690791058
